match_id,match_end_time,team,hero,role,kills,deaths,duration_sec,region,patch_version,commentary_text
4001,2026-01-14T19:54:00,FNC,hero_02,offlane,18,15,1481,NA,7.35,"In this match between FNC and a rival on patch 7.35, the hero_02 offlane ended with 18 kills and 15 deaths. The team coordinated objectives effectively and used the hero_02 ultimate ability to swing crucial team fights. Match duration was approximately 1481 seconds."
4001,2026-01-14T19:54:00,FNC,hero_14,hard_support,34,2,3047,NA,7.35,"In this match between FNC and a rival on patch 7.35, the hero_14 hard_support ended with 34 kills and 2 deaths. The team coordinated objectives effectively and used the hero_14 ultimate ability to swing crucial team fights. Match duration was approximately 3047 seconds."
4001,2026-01-14T19:54:00,FNC,hero_08,mid,21,31,2009,NA,7.35,"In this match between FNC and a rival on patch 7.35, the hero_08 mid ended with 21 kills and 31 deaths. The team coordinated objectives effectively and used the hero_08 ultimate ability to swing crucial team fights. Match duration was approximately 2009 seconds."
4001,2026-01-14T19:54:00,FNC,hero_06,mid,9,32,1631,NA,7.35,"In this match between FNC and a rival on patch 7.35, the hero_06 mid ended with 9 kills and 32 deaths. The team coordinated objectives effectively and used the hero_06 ultimate ability to swing crucial team fights. Match duration was approximately 1631 seconds."
4001,2026-01-14T19:54:00,FNC,hero_01,support,33,9,1473,NA,7.35,"In this match between FNC and a rival on patch 7.35, the hero_01 support ended with 33 kills and 9 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 1473 seconds."
4002,2026-01-21T17:24:00,Gen.G,hero_44,hard_support,6,21,1842,NA,7.34a,"In this match between Gen.G and a rival on patch 7.34a, the hero_44 hard_support ended with 6 kills and 21 deaths. The team coordinated objectives effectively and used the hero_44 ultimate ability to swing crucial team fights. Match duration was approximately 1842 seconds."
4002,2026-01-21T17:24:00,Gen.G,hero_03,offlane,26,25,1180,NA,7.34a,"In this match between Gen.G and a rival on patch 7.34a, the hero_03 offlane ended with 26 kills and 25 deaths. The team coordinated objectives effectively and used the hero_03 ultimate ability to swing crucial team fights. Match duration was approximately 1180 seconds."
4002,2026-01-21T17:24:00,Gen.G,hero_06,mid,5,17,2834,NA,7.34a,"In this match between Gen.G and a rival on patch 7.34a, the hero_06 mid ended with 5 kills and 17 deaths. The team coordinated objectives effectively and used the hero_06 ultimate ability to swing crucial team fights. Match duration was approximately 2834 seconds."
4002,2026-01-21T17:24:00,Gen.G,hero_13,support,32,21,1211,NA,7.34a,"In this match between Gen.G and a rival on patch 7.34a, the hero_13 support ended with 32 kills and 21 deaths. The team coordinated objectives effectively and used the hero_13 ultimate ability to swing crucial team fights. Match duration was approximately 1211 seconds."
4002,2026-01-21T17:24:00,Gen.G,hero_01,carry,4,14,3270,NA,7.34a,"In this match between Gen.G and a rival on patch 7.34a, the hero_01 carry ended with 4 kills and 14 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 3270 seconds."
